source_name	source_type	source_id	target_name	target_type	target_id	relation_type	resource
alatrofloxacin	Compound	DrugBank:DB09335	Acute gonococcal cervicitis	Disease	UMLS:C0153195	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Gonorrhea of rectum	Disease	UMLS:C0275665	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Acute gonococcal urethritis	Disease	UMLS:C0275652	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Staphylococcal Pneumonia	Disease	UMLS:C0032308	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Acute gonococcal endometritis	Disease	UMLS:C0153196	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Bacterial infection due to Klebsiella pneumoniae	Disease	UMLS:C0343402	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Acute bacterial sinusitis	Disease	UMLS:C0275556	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Pneumonia due to Escherichia coli	Disease	UMLS:C0276089	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Chlamydial pneumonia	Disease	UMLS:C0339959	RepoDB::therapeutic::Compound:Disease	RepoDB
alatrofloxacin	Compound	DrugBank:DB09335	Chlamydial pelvic inflammatory disease	Disease	UMLS:C0520777	RepoDB::therapeutic::Compound:Disease	RepoDB
epalrestat	Compound	DrugBank:DB15293	Diabetic Neuropathies	Disease	UMLS:C0011882	RepoDB::therapeutic::Compound:Disease	RepoDB
eperisone	Compound	DrugBank:DB08992	Spasm	Disease	UMLS:C0037763	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Sinus headache	Disease	UMLS:C0037195	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Bronchitis	Disease	UMLS:C0006277	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Headache Disorders	Disease	UMLS:C0393735	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Allergic Conjunctivitis	Disease	UMLS:C0009766	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Rhinorrhea	Disease	UMLS:C1260880	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Influenza-like symptoms	Disease	UMLS:C0392171	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Allergic rhinitis (disorder)	Disease	UMLS:C2607914	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Hay fever	Disease	UMLS:C0018621	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Bronchospasm	Disease	UMLS:C0006266	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Rhinitis, Vasomotor	Disease	UMLS:C0035460	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Rhinitis	Disease	UMLS:C0035455	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Nasal congestion (finding)	Disease	UMLS:C0027424	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Sneezing	Disease	UMLS:C0037383	RepoDB::therapeutic::Compound:Disease	RepoDB
ephedrine	Compound	DrugBank:DB01364	Common Cold	Disease	UMLS:C0009443	RepoDB::therapeutic::Compound:Disease	RepoDB
epinastine	Compound	DrugBank:DB00751	Allergic Conjunctivitis	Disease	UMLS:C0009766	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	anaphylaxis	Disease	UMLS:C0002792	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	Hypotension	Disease	UMLS:C0020649	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	Bronchiectasis	Disease	UMLS:C0006267	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	Asthma attack	Disease	UMLS:C0347950	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	Glaucoma, Open-Angle	Disease	UMLS:C0017612	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	Dyspnea	Disease	UMLS:C0013404	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	Bronchitis	Disease	UMLS:C0006277	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	Wheezing	Disease	UMLS:C0043144	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	Exacerbation of asthma	Disease	UMLS:C0349790	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	Pulmonary Emphysema	Disease	UMLS:C0034067	RepoDB::therapeutic::Compound:Disease	RepoDB
epinephrine	Compound	DrugBank:DB00668	Septic Shock	Disease	UMLS:C0036983	RepoDB::therapeutic::Compound:Disease	RepoDB
albendazole	Compound	DrugBank:DB00518	Echinococcus granulosus infection of liver	Disease	UMLS:C0153289	RepoDB::therapeutic::Compound:Disease	RepoDB
albendazole	Compound	DrugBank:DB00518	Echinococcus granulosus infection of lung	Disease	UMLS:C0153290	RepoDB::therapeutic::Compound:Disease	RepoDB
albendazole	Compound	DrugBank:DB00518	Neurocysticercosis	Disease	UMLS:C0338437	RepoDB::therapeutic::Compound:Disease	RepoDB
albendazole	Compound	DrugBank:DB00518	Echinococcus granulosus infection	Disease	UMLS:C0152068	RepoDB::therapeutic::Compound:Disease	RepoDB
epirubicin	Compound	DrugBank:DB00445	Breast Carcinoma	Disease	UMLS:C0678222	RepoDB::therapeutic::Compound:Disease	RepoDB
epitizide	Compound	DrugBank:DB13989	Hypertensive disease	Disease	UMLS:C0020538	RepoDB::therapeutic::Compound:Disease	RepoDB
eplerenone	Compound	DrugBank:DB00700	Hypertensive disease	Disease	UMLS:C0020538	RepoDB::therapeutic::Compound:Disease	RepoDB
epoprostenol	Compound	DrugBank:DB01240	Pulmonary arterial hypertension	Disease	UMLS:C2973725	RepoDB::therapeutic::Compound:Disease	RepoDB
epoprostenol	Compound	DrugBank:DB01240	Pulmonary Hypertension	Disease	UMLS:C0020542	RepoDB::therapeutic::Compound:Disease	RepoDB
epoprostenol	Compound	DrugBank:DB01240	Rhinorrhea	Disease	UMLS:C1260880	RepoDB::therapeutic::Compound:Disease	RepoDB
epoprostenol	Compound	DrugBank:DB01240	Coughing	Disease	UMLS:C0010200	RepoDB::therapeutic::Compound:Disease	RepoDB
epoprostenol	Compound	DrugBank:DB01240	Nasal congestion (finding)	Disease	UMLS:C0027424	RepoDB::therapeutic::Compound:Disease	RepoDB
epoprostenol	Compound	DrugBank:DB01240	Allergic rhinitis (disorder)	Disease	UMLS:C2607914	RepoDB::therapeutic::Compound:Disease	RepoDB
epoprostenol	Compound	DrugBank:DB01240	Rhinitis	Disease	UMLS:C0035455	RepoDB::therapeutic::Compound:Disease	RepoDB
epoprostenol	Compound	DrugBank:DB01240	Common Cold	Disease	UMLS:C0009443	RepoDB::therapeutic::Compound:Disease	RepoDB
eprosartan	Compound	DrugBank:DB00876	Hypertensive disease	Disease	UMLS:C0020538	RepoDB::therapeutic::Compound:Disease	RepoDB
eptifibatide	Compound	DrugBank:DB00063	Acute Coronary Syndrome	Disease	UMLS:C0948089	RepoDB::therapeutic::Compound:Disease	RepoDB
erdosteine	Compound	DrugBank:DB05057	Accidental poisoning by lead and its compounds and fumes	Disease	UMLS:C0261486	RepoDB::therapeutic::Compound:Disease	RepoDB
ergometrine	Compound	DrugBank:DB01253	Postpartum Hemorrhage	Disease	UMLS:C0032797	RepoDB::therapeutic::Compound:Disease	RepoDB
ergotamine	Compound	DrugBank:DB00696	Migraine Disorders	Disease	UMLS:C0149931	RepoDB::therapeutic::Compound:Disease	RepoDB
ergotamine	Compound	DrugBank:DB00696	Vascular Headaches	Disease	UMLS:C0042376	RepoDB::therapeutic::Compound:Disease	RepoDB
ergotamine	Compound	DrugBank:DB00696	Cluster Headache	Disease	UMLS:C0009088	RepoDB::therapeutic::Compound:Disease	RepoDB
erlotinib	Compound	DrugBank:DB00530	Non-Small Cell Lung Carcinoma	Disease	UMLS:C0007131	RepoDB::therapeutic::Compound:Disease	RepoDB
erlotinib	Compound	DrugBank:DB00530	Adenocarcinoma of pancreas	Disease	UMLS:C0281361	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Miscarriage with sepsis	Disease	UMLS:C0269398	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Acute bacterial peritonitis	Disease	UMLS:C0275550	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Haemophilus influenzae pneumonia	Disease	UMLS:C0276026	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Peptostreptococcus infection	Disease	UMLS:C1096562	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Abdominal Abscess	Disease	UMLS:C0243001	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Abdominal Infection	Disease	UMLS:C1112209	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Female genital tract infection	Disease	UMLS:C1263758	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Urinary tract infection caused by Escherichia coli	Disease	UMLS:C0577708	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Urinary tract infection caused by Klebsiella	Disease	UMLS:C4076057	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Pneumonia, Bacterial	Disease	UMLS:C0004626	RepoDB::therapeutic::Compound:Disease	RepoDB
ertapenem	Compound	DrugBank:DB00303	Community acquired pneumonia	Disease	UMLS:C0694549	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Diphtheria	Disease	UMLS:C0012546	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Ophthalmia Neonatorum	Disease	UMLS:C0029076	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Infective otitis media	Disease	UMLS:C0729586	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Acute bacterial sinusitis	Disease	UMLS:C0275556	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Acute gonococcal endometritis	Disease	UMLS:C0153196	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Neonatal pneumonia	Disease	UMLS:C0339968	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Pneumonia, Bacterial	Disease	UMLS:C0004626	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Chlamydial urethritis	Disease	UMLS:C1278807	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Gonorrhea of rectum	Disease	UMLS:C0275665	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Pneumococcal pharyngitis	Disease	UMLS:C0275761	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Acute gonococcal urethritis	Disease	UMLS:C0275652	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Staphylococcus aureus infection	Disease	UMLS:C1318973	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	non-gonococcal urethritis (NGU)	Disease	UMLS:C1112709	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Group A Streptococcal Infections	Disease	UMLS:C0554628	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Listeriosis	Disease	UMLS:C0023860	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Inclusion conjunctivitis	Disease	UMLS:C0009770	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Pertussis	Disease	UMLS:C0043167	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Erythrasma	Disease	UMLS:C0014752	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Syphilis	Disease	UMLS:C0039128	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Chlamydial pneumonia	Disease	UMLS:C0339959	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Acute gonococcal cervicitis	Disease	UMLS:C0153195	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Acne Vulgaris	Disease	UMLS:C0001144	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Acute otitis media	Disease	UMLS:C0271429	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Mycoplasma pneumonia	Disease	UMLS:C0032302	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin	Compound	DrugBank:DB00199	Gonorrhea	Disease	UMLS:C0018081	RepoDB::therapeutic::Compound:Disease	RepoDB
salbutamol	Compound	DrugBank:DB01001	Bronchospasm	Disease	UMLS:C0006266	RepoDB::therapeutic::Compound:Disease	RepoDB
salbutamol	Compound	DrugBank:DB01001	Asthma attack	Disease	UMLS:C0347950	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin ethyl succinate	Compound	DrugBank:DB00199	Abdominal Infection	Disease	UMLS:C1112209	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin ethyl succinate	Compound	DrugBank:DB00199	Meningitis	Disease	UMLS:C0025289	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin ethyl succinate	Compound	DrugBank:DB00199	Cholangitis	Disease	UMLS:C0008311	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin ethyl succinate	Compound	DrugBank:DB00199	Bacterial sepsis	Disease	UMLS:C0684256	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin ethyl succinate	Compound	DrugBank:DB00199	Hepatic Coma	Disease	UMLS:C0019147	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin ethyl succinate	Compound	DrugBank:DB00199	Pneumonia, Bacterial	Disease	UMLS:C0004626	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin ethyl succinate	Compound	DrugBank:DB00199	Infection of bone	Disease	UMLS:C2242472	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin ethyl succinate	Compound	DrugBank:DB00199	Urinary tract infection	Disease	UMLS:C0042029	RepoDB::therapeutic::Compound:Disease	RepoDB
erythromycin ethyl succinate	Compound	DrugBank:DB00199	Arthropathy associated with infection	Disease	UMLS:C0157749	RepoDB::therapeutic::Compound:Disease	RepoDB
escitalopram	Compound	DrugBank:DB01175	Major Depressive Disorder	Disease	UMLS:C1269683	RepoDB::therapeutic::Compound:Disease	RepoDB
escitalopram	Compound	DrugBank:DB01175	Generalized Anxiety Disorder	Disease	UMLS:C0270549	RepoDB::therapeutic::Compound:Disease	RepoDB
esmolol	Compound	DrugBank:DB00187	Atrial Fibrillation	Disease	UMLS:C0004238	RepoDB::therapeutic::Compound:Disease	RepoDB
esmolol	Compound	DrugBank:DB00187	Supraventricular tachycardia	Disease	UMLS:C0039240	RepoDB::therapeutic::Compound:Disease	RepoDB
esmolol	Compound	DrugBank:DB00187	Perioperative hypertension	Disease	UMLS:C3661921	RepoDB::therapeutic::Compound:Disease	RepoDB
esomeprazole	Compound	DrugBank:DB00736	Erosive esophagitis	Disease	UMLS:C0267055	RepoDB::therapeutic::Compound:Disease	RepoDB
esomeprazole	Compound	DrugBank:DB00736	Zollinger-Ellison syndrome	Disease	UMLS:C0043515	RepoDB::therapeutic::Compound:Disease	RepoDB
esomeprazole	Compound	DrugBank:DB00736	Peptic Esophagitis	Disease	UMLS:C0014869	RepoDB::therapeutic::Compound:Disease	RepoDB
esomeprazole	Compound	DrugBank:DB00736	Gastroesophageal reflux disease	Disease	UMLS:C0017168	RepoDB::therapeutic::Compound:Disease	RepoDB
esomeprazole	Compound	DrugBank:DB00736	Peptic Ulcer	Disease	UMLS:C0030920	RepoDB::therapeutic::Compound:Disease	RepoDB
esomeprazole	Compound	DrugBank:DB00338	Erosive esophagitis	Disease	UMLS:C0267055	RepoDB::therapeutic::Compound:Disease	RepoDB
esomeprazole	Compound	DrugBank:DB00338	Zollinger-Ellison syndrome	Disease	UMLS:C0043515	RepoDB::therapeutic::Compound:Disease	RepoDB
esomeprazole	Compound	DrugBank:DB00338	Peptic Esophagitis	Disease	UMLS:C0014869	RepoDB::therapeutic::Compound:Disease	RepoDB
esomeprazole	Compound	DrugBank:DB00338	Gastroesophageal reflux disease	Disease	UMLS:C0017168	RepoDB::therapeutic::Compound:Disease	RepoDB
esomeprazole	Compound	DrugBank:DB00338	Peptic Ulcer	Disease	UMLS:C0030920	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol	Compound	DrugBank:DB00783	Atrophic Vaginitis	Disease	UMLS:C0221392	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol	Compound	DrugBank:DB00783	Urethral atrophy	Disease	UMLS:C0520577	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol	Compound	DrugBank:DB00783	Premenstrual Dysphoric Disorder	Disease	UMLS:C0520676	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol	Compound	DrugBank:DB00783	Acne Vulgaris	Disease	UMLS:C0001144	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol	Compound	DrugBank:DB00783	Atrophy of vulva	Disease	UMLS:C0156393	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol	Compound	DrugBank:DB00783	Osteoporosis, Postmenopausal	Disease	UMLS:C0029458	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol	Compound	DrugBank:DB00783	Female hypogonadism syndrome	Disease	UMLS:C0271578	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol	Compound	DrugBank:DB00783	Hot flushes	Disease	UMLS:C0600142	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol	Compound	DrugBank:DB00783	Menopausal syndrome	Disease	UMLS:C0025319	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol	Compound	DrugBank:DB00783	Ovarian failure	Disease	UMLS:C0747102	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol cypionate	Compound	DrugBank:DB13954	Hot flushes	Disease	UMLS:C0600142	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol cypionate	Compound	DrugBank:DB13954	Female hypogonadism syndrome	Disease	UMLS:C0271578	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol cypionate	Compound	DrugBank:DB00783	Hot flushes	Disease	UMLS:C0600142	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol cypionate	Compound	DrugBank:DB00783	Female hypogonadism syndrome	Disease	UMLS:C0271578	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol valerate	Compound	DrugBank:DB13956	Female hypogonadism syndrome	Disease	UMLS:C0271578	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol valerate	Compound	DrugBank:DB13956	Hot flushes	Disease	UMLS:C0600142	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol valerate	Compound	DrugBank:DB00783	Female hypogonadism syndrome	Disease	UMLS:C0271578	RepoDB::therapeutic::Compound:Disease	RepoDB
estradiol valerate	Compound	DrugBank:DB00783	Hot flushes	Disease	UMLS:C0600142	RepoDB::therapeutic::Compound:Disease	RepoDB
estramustine	Compound	DrugBank:DB01196	Prostatic Neoplasms	Disease	UMLS:C0033578	RepoDB::therapeutic::Compound:Disease	RepoDB
eszopiclone	Compound	DrugBank:DB00402	Sleeplessness	Disease	UMLS:C0917801	RepoDB::therapeutic::Compound:Disease	RepoDB
alclofenac	Compound	DrugBank:DB13167	Rheumatoid Arthritis	Disease	UMLS:C0003873	RepoDB::therapeutic::Compound:Disease	RepoDB
alclofenac	Compound	DrugBank:DB13167	Pain	Disease	UMLS:C0030193	RepoDB::therapeutic::Compound:Disease	RepoDB
alclofenac	Compound	DrugBank:DB13167	Ankylosing spondylitis	Disease	UMLS:C0038013	RepoDB::therapeutic::Compound:Disease	RepoDB
ethacrynic acid	Compound	DrugBank:DB00903	Edema	Disease	UMLS:C0013604	RepoDB::therapeutic::Compound:Disease	RepoDB
ethadione	Compound	DrugBank:DB13799	Absence Epilepsy	Disease	UMLS:C0014553	RepoDB::therapeutic::Compound:Disease	RepoDB
ethadione	Compound	DrugBank:DB13799	Epilepsy	Disease	UMLS:C0014544	RepoDB::therapeutic::Compound:Disease	RepoDB
ethambutol	Compound	DrugBank:DB00330	Acute tuberculosis	Disease	UMLS:C0275959	RepoDB::therapeutic::Compound:Disease	RepoDB
ethambutol	Compound	DrugBank:DB00330	Tuberculosis, Pulmonary	Disease	UMLS:C0041327	RepoDB::therapeutic::Compound:Disease	RepoDB
ethchlorvynol	Compound	DrugBank:DB00189	Sleeplessness	Disease	UMLS:C0917801	RepoDB::therapeutic::Compound:Disease	RepoDB
ethinamate	Compound	DrugBank:DB01031	Sleeplessness	Disease	UMLS:C0917801	RepoDB::therapeutic::Compound:Disease	RepoDB
ethinylestradiol	Compound	DrugBank:DB00977	Premenstrual Dysphoric Disorder	Disease	UMLS:C0520676	RepoDB::therapeutic::Compound:Disease	RepoDB
ethinylestradiol	Compound	DrugBank:DB00977	Atrophy of vulva	Disease	UMLS:C0156393	RepoDB::therapeutic::Compound:Disease	RepoDB
