"drug_name","drugbank_id","ind_name","ind_id","NCT","status","phase","DetailedStatus"
"alatrofloxacin","DB09335","Urinary tract infection","C0042029",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Abdominal Infection","C1112209",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Haemophilus influenzae pneumonia","C0276026",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Pneumonia due to Pseudomonas","C0155860",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Streptococcal pneumonia","C0155862",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute Moraxella catarrhalis bronchitis","C0339932",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Mycoplasma pneumonia","C0032302",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute gonococcal cervicitis","C0153195",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Gonorrhea of rectum","C0275665",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute gonococcal urethritis","C0275652",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Staphylococcal Pneumonia","C0032308",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute gonococcal endometritis","C0153196",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Bacterial infection due to Klebsiella pneumoniae","C0343402",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Acute bacterial sinusitis","C0275556",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Pneumonia due to Escherichia coli","C0276089",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Chlamydial pneumonia","C0339959",NA,"Approved",NA,NA
"alatrofloxacin","DB09335","Chlamydial pelvic inflammatory disease","C0520777",NA,"Approved",NA,NA
"epalrestat","DB15293","Diabetic Neuropathies","C0011882",NA,"Approved",NA,NA
"eperisone","DB08992","Spasm","C0037763",NA,"Approved",NA,NA
"ephedrine","DB01364","Sinus headache","C0037195",NA,"Approved",NA,NA
"ephedrine","DB01364","Bronchitis","C0006277",NA,"Approved",NA,NA
"ephedrine","DB01364","Headache Disorders","C0393735",NA,"Approved",NA,NA
"ephedrine","DB01364","Allergic Conjunctivitis","C0009766",NA,"Approved",NA,NA
"ephedrine","DB01364","Rhinorrhea","C1260880",NA,"Approved",NA,NA
"ephedrine","DB01364","Influenza-like symptoms","C0392171",NA,"Approved",NA,NA
"ephedrine","DB01364","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"ephedrine","DB01364","Hay fever","C0018621",NA,"Approved",NA,NA
"ephedrine","DB01364","Bronchospasm","C0006266",NA,"Approved",NA,NA
"ephedrine","DB01364","Rhinitis, Vasomotor","C0035460",NA,"Approved",NA,NA
"ephedrine","DB01364","Rhinitis","C0035455",NA,"Approved",NA,NA
"ephedrine","DB01364","Nasal congestion (finding)","C0027424",NA,"Approved",NA,NA
"ephedrine","DB01364","Sneezing","C0037383",NA,"Approved",NA,NA
"ephedrine","DB01364","Common Cold","C0009443",NA,"Approved",NA,NA
"epinastine","DB00751","Allergic Conjunctivitis","C0009766",NA,"Approved",NA,NA
"epinephrine","DB00668","anaphylaxis","C0002792",NA,"Approved",NA,NA
"epinephrine","DB00668","Hypotension","C0020649",NA,"Approved",NA,NA
"epinephrine","DB00668","Bronchiectasis","C0006267",NA,"Approved",NA,NA
"epinephrine","DB00668","Asthma attack","C0347950",NA,"Approved",NA,NA
"epinephrine","DB00668","Glaucoma, Open-Angle","C0017612",NA,"Approved",NA,NA
"epinephrine","DB00668","Dyspnea","C0013404",NA,"Approved",NA,NA
"epinephrine","DB00668","Bronchitis","C0006277",NA,"Approved",NA,NA
"epinephrine","DB00668","Wheezing","C0043144",NA,"Approved",NA,NA
"epinephrine","DB00668","Exacerbation of asthma","C0349790",NA,"Approved",NA,NA
"epinephrine","DB00668","Pulmonary Emphysema","C0034067",NA,"Approved",NA,NA
"epinephrine","DB00668","Septic Shock","C0036983",NA,"Approved",NA,NA
"albendazole","DB00518","Echinococcus granulosus infection of liver","C0153289",NA,"Approved",NA,NA
"albendazole","DB00518","Echinococcus granulosus infection of lung","C0153290",NA,"Approved",NA,NA
"albendazole","DB00518","Neurocysticercosis","C0338437",NA,"Approved",NA,NA
"albendazole","DB00518","Echinococcus granulosus infection","C0152068",NA,"Approved",NA,NA
"epirubicin","DB00445","Breast Carcinoma","C0678222",NA,"Approved",NA,NA
"epitizide","DB13989","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"eplerenone","DB00700","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"epoprostenol","DB01240","Pulmonary arterial hypertension","C2973725",NA,"Approved",NA,NA
"epoprostenol","DB01240","Pulmonary Hypertension","C0020542",NA,"Approved",NA,NA
"epoprostenol","DB01240","Rhinorrhea","C1260880",NA,"Approved",NA,NA
"epoprostenol","DB01240","Coughing","C0010200",NA,"Approved",NA,NA
"epoprostenol","DB01240","Nasal congestion (finding)","C0027424",NA,"Approved",NA,NA
"epoprostenol","DB01240","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"epoprostenol","DB01240","Rhinitis","C0035455",NA,"Approved",NA,NA
"epoprostenol","DB01240","Common Cold","C0009443",NA,"Approved",NA,NA
"eprosartan","DB00876","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"eptifibatide","DB00063","Acute Coronary Syndrome","C0948089",NA,"Approved",NA,NA
"erdosteine","DB05057","Accidental poisoning by lead and its compounds and fumes","C0261486",NA,"Approved",NA,NA
"ergometrine","DB01253","Postpartum Hemorrhage","C0032797",NA,"Approved",NA,NA
"ergotamine","DB00696","Migraine Disorders","C0149931",NA,"Approved",NA,NA
"ergotamine","DB00696","Vascular Headaches","C0042376",NA,"Approved",NA,NA
"ergotamine","DB00696","Cluster Headache","C0009088",NA,"Approved",NA,NA
"erlotinib","DB00530","Non-Small Cell Lung Carcinoma","C0007131",NA,"Approved",NA,NA
"erlotinib","DB00530","Adenocarcinoma of pancreas","C0281361",NA,"Approved",NA,NA
"ertapenem","DB00303","Miscarriage with sepsis","C0269398",NA,"Approved",NA,NA
"ertapenem","DB00303","Acute bacterial peritonitis","C0275550",NA,"Approved",NA,NA
"ertapenem","DB00303","Haemophilus influenzae pneumonia","C0276026",NA,"Approved",NA,NA
"ertapenem","DB00303","Peptostreptococcus infection","C1096562",NA,"Approved",NA,NA
"ertapenem","DB00303","Abdominal Abscess","C0243001",NA,"Approved",NA,NA
"ertapenem","DB00303","Abdominal Infection","C1112209",NA,"Approved",NA,NA
"ertapenem","DB00303","Female genital tract infection","C1263758",NA,"Approved",NA,NA
"ertapenem","DB00303","Urinary tract infection caused by Escherichia coli","C0577708",NA,"Approved",NA,NA
"ertapenem","DB00303","Urinary tract infection caused by Klebsiella","C4076057",NA,"Approved",NA,NA
"ertapenem","DB00303","Pneumonia, Bacterial","C0004626",NA,"Approved",NA,NA
"ertapenem","DB00303","Community acquired pneumonia","C0694549",NA,"Approved",NA,NA
"erythromycin","DB00199","Diphtheria","C0012546",NA,"Approved",NA,NA
"erythromycin","DB00199","Ophthalmia Neonatorum","C0029076",NA,"Approved",NA,NA
"erythromycin","DB00199","Infective otitis media","C0729586",NA,"Approved",NA,NA
"erythromycin","DB00199","Acute bacterial sinusitis","C0275556",NA,"Approved",NA,NA
"erythromycin","DB00199","Acute gonococcal endometritis","C0153196",NA,"Approved",NA,NA
"erythromycin","DB00199","Neonatal pneumonia","C0339968",NA,"Approved",NA,NA
"erythromycin","DB00199","Pneumonia, Bacterial","C0004626",NA,"Approved",NA,NA
"erythromycin","DB00199","Chlamydial urethritis","C1278807",NA,"Approved",NA,NA
"erythromycin","DB00199","Gonorrhea of rectum","C0275665",NA,"Approved",NA,NA
"erythromycin","DB00199","Pneumococcal pharyngitis","C0275761",NA,"Approved",NA,NA
"erythromycin","DB00199","Acute gonococcal urethritis","C0275652",NA,"Approved",NA,NA
"erythromycin","DB00199","Staphylococcus aureus infection","C1318973",NA,"Approved",NA,NA
"erythromycin","DB00199","non-gonococcal urethritis (NGU)","C1112709",NA,"Approved",NA,NA
"erythromycin","DB00199","Group A Streptococcal Infections","C0554628",NA,"Approved",NA,NA
"erythromycin","DB00199","Listeriosis","C0023860",NA,"Approved",NA,NA
"erythromycin","DB00199","Inclusion conjunctivitis","C0009770",NA,"Approved",NA,NA
"erythromycin","DB00199","Pertussis","C0043167",NA,"Approved",NA,NA
"erythromycin","DB00199","Erythrasma","C0014752",NA,"Approved",NA,NA
"erythromycin","DB00199","Syphilis","C0039128",NA,"Approved",NA,NA
"erythromycin","DB00199","Chlamydial pneumonia","C0339959",NA,"Approved",NA,NA
"erythromycin","DB00199","Acute gonococcal cervicitis","C0153195",NA,"Approved",NA,NA
"erythromycin","DB00199","Acne Vulgaris","C0001144",NA,"Approved",NA,NA
"erythromycin","DB00199","Acute otitis media","C0271429",NA,"Approved",NA,NA
"erythromycin","DB00199","Mycoplasma pneumonia","C0032302",NA,"Approved",NA,NA
"erythromycin","DB00199","Gonorrhea","C0018081",NA,"Approved",NA,NA
"salbutamol","DB01001","Bronchospasm","C0006266",NA,"Approved",NA,NA
"salbutamol","DB01001","Asthma attack","C0347950",NA,"Approved",NA,NA
"erythromycin ethyl succinate","DB00199","Abdominal Infection","C1112209",NA,"Approved",NA,NA
"erythromycin ethyl succinate","DB00199","Meningitis","C0025289",NA,"Approved",NA,NA
"erythromycin ethyl succinate","DB00199","Cholangitis","C0008311",NA,"Approved",NA,NA
"erythromycin ethyl succinate","DB00199","Bacterial sepsis","C0684256",NA,"Approved",NA,NA
"erythromycin ethyl succinate","DB00199","Hepatic Coma","C0019147",NA,"Approved",NA,NA
"erythromycin ethyl succinate","DB00199","Pneumonia, Bacterial","C0004626",NA,"Approved",NA,NA
"erythromycin ethyl succinate","DB00199","Infection of bone","C2242472",NA,"Approved",NA,NA
"erythromycin ethyl succinate","DB00199","Urinary tract infection","C0042029",NA,"Approved",NA,NA
"erythromycin ethyl succinate","DB00199","Arthropathy associated with infection","C0157749",NA,"Approved",NA,NA
"escitalopram","DB01175","Major Depressive Disorder","C1269683",NA,"Approved",NA,NA
"escitalopram","DB01175","Generalized Anxiety Disorder","C0270549",NA,"Approved",NA,NA
"esmolol","DB00187","Atrial Fibrillation","C0004238",NA,"Approved",NA,NA
"esmolol","DB00187","Supraventricular tachycardia","C0039240",NA,"Approved",NA,NA
"esmolol","DB00187","Perioperative hypertension","C3661921",NA,"Approved",NA,NA
"esomeprazole","DB00736","Erosive esophagitis","C0267055",NA,"Approved",NA,NA
"esomeprazole","DB00736","Zollinger-Ellison syndrome","C0043515",NA,"Approved",NA,NA
"esomeprazole","DB00736","Peptic Esophagitis","C0014869",NA,"Approved",NA,NA
"esomeprazole","DB00736","Gastroesophageal reflux disease","C0017168",NA,"Approved",NA,NA
"esomeprazole","DB00736","Peptic Ulcer","C0030920",NA,"Approved",NA,NA
"esomeprazole","DB00338","Erosive esophagitis","C0267055",NA,"Approved",NA,NA
"esomeprazole","DB00338","Zollinger-Ellison syndrome","C0043515",NA,"Approved",NA,NA
"esomeprazole","DB00338","Peptic Esophagitis","C0014869",NA,"Approved",NA,NA
"esomeprazole","DB00338","Gastroesophageal reflux disease","C0017168",NA,"Approved",NA,NA
"esomeprazole","DB00338","Peptic Ulcer","C0030920",NA,"Approved",NA,NA
"estradiol","DB00783","Atrophic Vaginitis","C0221392",NA,"Approved",NA,NA
"estradiol","DB00783","Urethral atrophy","C0520577",NA,"Approved",NA,NA
"estradiol","DB00783","Premenstrual Dysphoric Disorder","C0520676",NA,"Approved",NA,NA
"estradiol","DB00783","Acne Vulgaris","C0001144",NA,"Approved",NA,NA
"estradiol","DB00783","Atrophy of vulva","C0156393",NA,"Approved",NA,NA
"estradiol","DB00783","Osteoporosis, Postmenopausal","C0029458",NA,"Approved",NA,NA
"estradiol","DB00783","Female hypogonadism syndrome","C0271578",NA,"Approved",NA,NA
"estradiol","DB00783","Hot flushes","C0600142",NA,"Approved",NA,NA
"estradiol","DB00783","Menopausal syndrome","C0025319",NA,"Approved",NA,NA
"estradiol","DB00783","Ovarian failure","C0747102",NA,"Approved",NA,NA
"estradiol cypionate","DB13954","Hot flushes","C0600142",NA,"Approved",NA,NA
"estradiol cypionate","DB13954","Female hypogonadism syndrome","C0271578",NA,"Approved",NA,NA
"estradiol cypionate","DB00783","Hot flushes","C0600142",NA,"Approved",NA,NA
"estradiol cypionate","DB00783","Female hypogonadism syndrome","C0271578",NA,"Approved",NA,NA
"estradiol valerate","DB13956","Female hypogonadism syndrome","C0271578",NA,"Approved",NA,NA
"estradiol valerate","DB13956","Hot flushes","C0600142",NA,"Approved",NA,NA
"estradiol valerate","DB00783","Female hypogonadism syndrome","C0271578",NA,"Approved",NA,NA
"estradiol valerate","DB00783","Hot flushes","C0600142",NA,"Approved",NA,NA
"estramustine","DB01196","Prostatic Neoplasms","C0033578",NA,"Approved",NA,NA
"eszopiclone","DB00402","Sleeplessness","C0917801",NA,"Approved",NA,NA
"alclofenac","DB13167","Rheumatoid Arthritis","C0003873",NA,"Approved",NA,NA
"alclofenac","DB13167","Pain","C0030193",NA,"Approved",NA,NA
"alclofenac","DB13167","Ankylosing spondylitis","C0038013",NA,"Approved",NA,NA
"ethacrynic acid","DB00903","Edema","C0013604",NA,"Approved",NA,NA
"ethadione","DB13799","Absence Epilepsy","C0014553",NA,"Approved",NA,NA
"ethadione","DB13799","Epilepsy","C0014544",NA,"Approved",NA,NA
"ethambutol","DB00330","Acute tuberculosis","C0275959",NA,"Approved",NA,NA
"ethambutol","DB00330","Tuberculosis, Pulmonary","C0041327",NA,"Approved",NA,NA
"ethchlorvynol","DB00189","Sleeplessness","C0917801",NA,"Approved",NA,NA
"ethinamate","DB01031","Sleeplessness","C0917801",NA,"Approved",NA,NA
"ethinylestradiol","DB00977","Premenstrual Dysphoric Disorder","C0520676",NA,"Approved",NA,NA
"ethinylestradiol","DB00977","Atrophy of vulva","C0156393",NA,"Approved",NA,NA
"ethinylestradiol","DB00977","Hot flushes","C0600142",NA,"Approved",NA,NA
"ethinylestradiol","DB00977","Acne Vulgaris","C0001144",NA,"Approved",NA,NA
"ethinylestradiol","DB00977","Osteoporosis, Postmenopausal","C0029458",NA,"Approved",NA,NA
"ethinylestradiol","DB00977","Dysmenorrhea","C0013390",NA,"Approved",NA,NA
"ethinylestradiol","DB00977","Atrophic Vaginitis","C0221392",NA,"Approved",NA,NA
"ethionamide","DB00609","Acute tuberculosis","C0275959",NA,"Approved",NA,NA
"ethionamide","DB00609","Pulmonary Mycobacterium avium complex infection","C2733595",NA,"Approved",NA,NA
"ethionamide","DB00609","Tuberculosis, Pulmonary","C0041327",NA,"Approved",NA,NA
"ethosuximide","DB00593","Absence Epilepsy","C0014553",NA,"Approved",NA,NA
"ethotoin","DB00754","Tonic-Clonic Epilepsy","C0014549",NA,"Approved",NA,NA
"ethotoin","DB00754","Epilepsy characterized by intractable complex partial seizures","C2711653",NA,"Approved",NA,NA
"ethyl loflazepate","DB01545","Anxiety","C0003467",NA,"Approved",NA,NA
"ethyl loflazepate","DB01545","Depressive disorder","C0011581",NA,"Approved",NA,NA
"etidronic acid","DB01077","Osteitis Deformans","C0029401",NA,"Approved",NA,NA
"etidronic acid","DB01077","Humoral hypercalcemia of malignancy (disorder)","C0149911",NA,"Approved",NA,NA
"etidronic acid","DB01077","Heterotopic Ossification","C0029396",NA,"Approved",NA,NA
"etizolam","DB09166","Anxiety","C0003467",NA,"Approved",NA,NA
"etodolac","DB00749","Pain","C0030193",NA,"Approved",NA,NA
"etodolac","DB00749","Degenerative polyarthritis","C0029408",NA,"Approved",NA,NA
"etodolac","DB00749","Juvenile arthritis","C3495559",NA,"Approved",NA,NA
"etodolac","DB00749","Rheumatoid Arthritis","C0003873",NA,"Approved",NA,NA
"etoposide","DB00773","Small cell carcinoma of lung","C0149925",NA,"Approved",NA,NA
"etoposide","DB00773","Malignant neoplasm of testis","C0153594",NA,"Approved",NA,NA
"etravirine","DB06414","HIV Infections","C0019693",NA,"Approved",NA,NA
"etretinate","DB00926","Psoriasis","C0033860",NA,"Approved",NA,NA
"etretinate","DB00459","Psoriasis","C0033860",NA,"Approved",NA,NA
"everolimus","DB01590","Angiomyolipoma of kidney","C0241961",NA,"Approved",NA,NA
"everolimus","DB01590","Breast Carcinoma","C0678222",NA,"Approved",NA,NA
"everolimus","DB01590","Hormone receptor positive malignant neoplasm of breast","C1562029",NA,"Approved",NA,NA
"everolimus","DB01590","Neuroendocrine tumor of pancreas","C4305467",NA,"Approved",NA,NA
"everolimus","DB01590","Renal Cell Carcinoma","C0007134",NA,"Approved",NA,NA
"everolimus","DB01590","Tuberous Sclerosis","C0041341",NA,"Approved",NA,NA
"alendronic acid","DB00630","Osteoporosis, Postmenopausal","C0029458",NA,"Approved",NA,NA
"alendronic acid","DB00630","Osteitis Deformans","C0029401",NA,"Approved",NA,NA
"exemestane","DB00990","Hormone receptor positive malignant neoplasm of breast","C1562029",NA,"Approved",NA,NA
"ezetimibe","DB00973","Hyperlipidemia, Familial Combined","C0020474",NA,"Approved",NA,NA
"ezetimibe","DB00973","Homozygous Familial Hypercholesterolemia","C0342881",NA,"Approved",NA,NA
"ezetimibe","DB00973","Hypercholesterolemia","C0020443",NA,"Approved",NA,NA
"ezetimibe","DB00973","Familial hypercholesterolemia - heterozygous","C0342882",NA,"Approved",NA,NA
"ezetimibe","DB00973","Hyperlipidemia","C0020473",NA,"Approved",NA,NA
"ezetimibe","DB00973","Sitosterolemia","C0342907",NA,"Approved",NA,NA
"famciclovir","DB00426","Herpes zoster disease","C0019360",NA,"Approved",NA,NA
"famciclovir","DB00426","Recurrent genital herpes simplex","C1274323",NA,"Approved",NA,NA
"famciclovir","DB00426","Recurrent herpes simplex labialis","C1274321",NA,"Approved",NA,NA
"famciclovir","DB00426","Herpes simplex infection","C0019348",NA,"Approved",NA,NA
"famotidine","DB00927","Peptic Esophagitis","C0014869",NA,"Approved",NA,NA
"famotidine","DB00927","Duodenal Ulcer","C0013295",NA,"Approved",NA,NA
"famotidine","DB00927","Zollinger-Ellison syndrome","C0043515",NA,"Approved",NA,NA
"famotidine","DB00927","Dyspepsia","C0013395",NA,"Approved",NA,NA
"famotidine","DB00927","Heartburn","C0018834",NA,"Approved",NA,NA
"famotidine","DB00927","Erosive esophagitis","C0267055",NA,"Approved",NA,NA
"famotidine","DB00927","Gastric ulcer","C0038358",NA,"Approved",NA,NA
"famotidine","DB00927","Gastroesophageal reflux disease","C0017168",NA,"Approved",NA,NA
"faropenem","DB12190","Skin Diseases, Bacterial","C0162627",NA,"Approved",NA,NA
"faropenem","DB12190","Respiratory Tract Infections","C0035243",NA,"Approved",NA,NA
"fasudil","DB08162","Cerebral Ischemia","C0917798",NA,"Approved",NA,NA
"fasudil","DB08162","Cerebral Vasospasm","C0265110",NA,"Approved",NA,NA
"febuxostat","DB04854","Hyperuricemia","C0740394",NA,"Approved",NA,NA
"felbamate","DB00949","Simple Partial Seizures","C0234974",NA,"Approved",NA,NA
"felbamate","DB00949","Lennox-Gastaut syndrome","C0238111",NA,"Approved",NA,NA
"felbamate","DB00949","Epilepsy","C0014544",NA,"Approved",NA,NA
"felbinac","DB07477","Degenerative polyarthritis","C0029408",NA,"Approved",NA,NA
"felbinac","DB07477","Pain","C0030193",NA,"Approved",NA,NA
"felodipine","DB01023","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"fendiline","DB08980","Myocardial Ischemia","C0151744",NA,"Approved",NA,NA
"alfuzosin","DB00346","Prostatic Hypertrophy","C1739363",NA,"Approved",NA,NA
"fenfluramine","DB00574","Obesity","C0028754",NA,"Approved",NA,NA
"fenofibrate","DB01039","Hypercholesterolemia","C0020443",NA,"Approved",NA,NA
"fenofibrate","DB01039","Hyperlipidemia","C0020473",NA,"Approved",NA,NA
"fenofibrate","DB01039","Hypertriglyceridemia","C0020557",NA,"Approved",NA,NA
"fenofibrate","DB01039","Hyperlipidemia, Familial Combined","C0020474",NA,"Approved",NA,NA
"fenofibrate","DB01039","Hypoalphalipoproteinemias","C0473527",NA,"Approved",NA,NA
"fenofibrate","DB01039","Familial hypercholesterolemia - heterozygous","C0342882",NA,"Approved",NA,NA
"fenoldopam","DB00800","Hypertensive urgency","C0745138",NA,"Approved",NA,NA
"fenoldopam","DB00800","Malignant essential hypertension","C0024588",NA,"Approved",NA,NA
"fenoprofen","DB00573","Rheumatoid Arthritis","C0003873",NA,"Approved",NA,NA
"fenoprofen","DB00573","Degenerative polyarthritis","C0029408",NA,"Approved",NA,NA
"fenoprofen","DB00573","Pain","C0030193",NA,"Approved",NA,NA
"fenproporex","DB01550","Obesity","C0028754",NA,"Approved",NA,NA
"fentanyl","DB00813","Postoperative Pain, Acute","C2215257",NA,"Approved",NA,NA
"fentanyl","DB00813","Pain","C0030193",NA,"Approved",NA,NA
"fentanyl","DB00813","Breakthrough cancer pain","C2721580",NA,"Approved",NA,NA
"fentiazac","DB13217","Pain","C0030193",NA,"Approved",NA,NA
"fenticonazole","DB13434","Candidiasis, Vulvovaginal","C0700345",NA,"Approved",NA,NA
"fexofenadine","DB00950","Chronic Spontaneous Urticaria","C0578870",NA,"Approved",NA,NA
"fexofenadine","DB00950","Hay fever","C0018621",NA,"Approved",NA,NA
"fexofenadine","DB00950","Allergic Conjunctivitis","C0009766",NA,"Approved",NA,NA
"fexofenadine","DB00950","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"fexofenadine","DB00950","Sneezing","C0037383",NA,"Approved",NA,NA
"finasteride","DB01216","Prostatic Hypertrophy","C1739363",NA,"Approved",NA,NA
"flavoxate","DB01148","Urgency of micturition","C0085606",NA,"Approved",NA,NA
"flavoxate","DB01148","Nocturia","C0028734",NA,"Approved",NA,NA
"flavoxate","DB01148","Urinary Incontinence","C0042024",NA,"Approved",NA,NA
"flavoxate","DB01148","Suprapubic pain","C0241310",NA,"Approved",NA,NA
"flavoxate","DB01148","Dysuria","C0013428",NA,"Approved",NA,NA
"flecainide","DB01195","Atrial Fibrillation","C0004238",NA,"Approved",NA,NA
"flecainide","DB01195","Paroxysmal atrial flutter","C0741292",NA,"Approved",NA,NA
"flecainide","DB01195","Paroxysmal atrial fibrillation","C0235480",NA,"Approved",NA,NA
"floctafenine","DB08976","Acute onset pain","C0184567",NA,"Approved",NA,NA
"floxuridine","DB00322","Malignant neoplasm of liver","C0345904",NA,"Approved",NA,NA
"floxuridine","DB00322","Primary malignant neoplasm of gastrointestinal tract","C1306632",NA,"Approved",NA,NA
"fluconazole","DB00196","Septicemia candida","C0349009",NA,"Approved",NA,NA
"fluconazole","DB00196","Candidiasis, Vulvovaginal","C0700345",NA,"Approved",NA,NA
"fluconazole","DB00196","Oral candidiasis","C0006849",NA,"Approved",NA,NA
"fluconazole","DB00196","Mucocutaneous candidiasis","C0006848",NA,"Approved",NA,NA
"fluconazole","DB00196","Candidiasis of the esophagus","C0239295",NA,"Approved",NA,NA
"fluconazole","DB00196","Meningitis, Cryptococcal","C0085436",NA,"Approved",NA,NA
"fluconazole","DB00196","Candidemia","C0877445",NA,"Approved",NA,NA
"fluconazole","DB00196","Systemic candidiasis","C0153252",NA,"Approved",NA,NA
"fludarabine phosphate","DB01073","Chronic Lymphocytic Leukemia","C0023434",NA,"Approved",NA,NA
"fludarabine phosphate","DB01073","Lymphoma, Non-Hodgkin","C0024305",NA,"Approved",NA,NA
"fludarabine phosphate","DB01073","Leukemia, Myelocytic, Acute","C0023467",NA,"Approved",NA,NA
"aliskiren","DB09026","Hypertensive disease","C0020538",NA,"Approved",NA,NA
"fludrocortisone acetate","DB00687","Adrenogenital disorder","C0701163",NA,"Approved",NA,NA
"fludrocortisone acetate","DB00687","Addison Disease","C0001403",NA,"Approved",NA,NA
"flufenamic acid","DB02266","Pain","C0030193",NA,"Approved",NA,NA
"alizapride","DB01425","Nausea and vomiting","C0027498",NA,"Approved",NA,NA
"alizapride","DB01425","Postoperative Nausea and Vomiting","C0520909",NA,"Approved",NA,NA
"flunisolide","DB00180","Allergic rhinitis (disorder)","C2607914",NA,"Approved",NA,NA
"flunisolide","DB00180","Asthma","C0004096",NA,"Approved",NA,NA
"flunoxaprofen","DB13317","Rheumatoid Arthritis","C0003873",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Lymphoma, T-Cell, Cutaneous","C0079773",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Exanthema","C0015230",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Pruritus Ani","C0033775",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Chronic discoid lupus erythematosus","C0024138",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Contact Dermatitis","C0011616",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Lichen Simplex Chronicus","C0149922",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Granuloma Annulare","C0085074",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Chloasma","C0025218",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Dermatitis, Atopic","C0011615",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Chronic small plaque psoriasis","C0406317",NA,"Approved",NA,NA
"fluocinolone acetonide","DB00591","Psoriasis of scalp","C0406326",NA,"Approved",NA,NA
